obsnme,obsval,weight,obgnme
loc001n0747,161.18,1.0,07346X0017
loc001n0749,161.04,1.0,07346X0017
loc001n0751,160.83,1.0,07346X0017
loc001n0753,160.68,1.0,07346X0017
loc001n0755,160.75,1.0,07346X0017
loc001n0757,160.78,1.0,07346X0017
loc001n0759,160.8,1.0,07346X0017
loc001n0761,160.73,1.0,07346X0017
loc001n0763,160.79,1.0,07346X0017
loc001n0767,160.7,1.0,07346X0017
loc001n0768,160.66,1.0,07346X0017
loc001n0770,160.59,1.0,07346X0017
loc001n0772,160.53,1.0,07346X0017
loc001n0774,160.43,1.0,07346X0017
loc001n0776,160.34,1.0,07346X0017
loc001n0778,160.47,1.0,07346X0017
loc001n0780,160.53,1.0,07346X0017
loc001n0782,161.36,1.0,07346X0017
loc001n0784,161.72,1.0,07346X0017
loc001n0786,161.77,1.0,07346X0017
loc001n0788,161.75,1.0,07346X0017
loc001n0790,161.6,1.0,07346X0017
loc001n0792,161.47,1.0,07346X0017
loc001n0794,161.36,1.0,07346X0017
loc001n0798,164.71,1.0,07346X0017
loc001n0799,164.67,1.0,07346X0017
loc001n0801,164.54,1.0,07346X0017
loc001n0803,164.24,1.0,07346X0017
loc001n0805,163.89,1.0,07346X0017
loc001n0807,163.61,1.0,07346X0017
loc001n0809,163.4,1.0,07346X0017
loc001n0811,163.22,1.0,07346X0017
loc001n0813,163.01,1.0,07346X0017
loc001n0815,162.77,1.0,07346X0017
loc001n0817,162.66,1.0,07346X0017
loc001n0819,162.66,1.0,07346X0017
loc001n0821,162.77,1.0,07346X0017
loc001n0823,163.21,1.0,07346X0017
loc001n0825,163.56,1.0,07346X0017
loc001n0826,163.94,1.0,07346X0017
loc001n0827,164.65,1.0,07346X0017
loc001n0829,164.9,1.0,07346X0017
loc001n0831,164.88,1.0,07346X0017
loc001n0833,164.8,1.0,07346X0017
loc001n0835,164.6,1.0,07346X0017
loc001n0837,164.39,1.0,07346X0017
loc001n0839,164.21,1.0,07346X0017
loc001n0841,164.02,1.0,07346X0017
loc001n0843,163.83,1.0,07346X0017
loc001n0845,163.67,1.0,07346X0017
loc001n0847,163.52,1.0,07346X0017
loc001n0849,163.4,1.0,07346X0017
loc001n0851,163.23,1.0,07346X0017
loc001n0853,163.06,1.0,07346X0017
loc001n0857,162.83,1.0,07346X0017
loc001n0858,162.75,1.0,07346X0017
loc001n0860,162.68,1.0,07346X0017
loc001n0862,162.56,1.0,07346X0017
loc001n0864,162.43,1.0,07346X0017
loc001n0866,162.36,1.0,07346X0017
loc001n0868,162.23,1.0,07346X0017
loc001n0870,162.13,1.0,07346X0017
loc001n0872,162.07,1.0,07346X0017
loc001n0874,161.95,1.0,07346X0017
loc001n0876,161.85,1.0,07346X0017
loc001n0878,161.74,1.0,07346X0017
loc001n0880,161.66,1.0,07346X0017
loc001n0882,161.59,1.0,07346X0017
loc001n0884,161.46,1.0,07346X0017
loc001n0887,161.32,1.0,07346X0017
loc001n0888,161.29,1.0,07346X0017
loc001n0890,161.72,1.0,07346X0017
loc001n0892,161.62,1.0,07346X0017
loc001n0894,161.6,1.0,07346X0017
loc001n0896,161.47,1.0,07346X0017
loc001n0898,161.4,1.0,07346X0017
loc001n0900,161.3,1.0,07346X0017
loc001n0902,161.19,1.0,07346X0017
loc001n0904,161.13,1.0,07346X0017
loc001n0906,161.04,1.0,07346X0017
loc001n0908,160.94,1.0,07346X0017
loc001n0910,160.87,1.0,07346X0017
loc001n0912,160.78,1.0,07346X0017
loc001n0914,160.7,1.0,07346X0017
loc001n0918,160.54,1.0,07346X0017
loc001n0919,160.5,1.0,07346X0017
loc001n0921,160.4,1.0,07346X0017
loc001n0923,160.29,1.0,07346X0017
loc001n0925,160.16,1.0,07346X0017
loc001n0927,160.05,1.0,07346X0017
loc001n0929,159.97,1.0,07346X0017
loc001n0931,160.46,1.0,07346X0017
loc001n0933,160.24,1.0,07346X0017
loc001n0935,160.16,1.0,07346X0017
loc001n0937,160.1,1.0,07346X0017
loc001n0939,160.04,1.0,07346X0017
loc001n0941,159.96,1.0,07346X0017
loc001n0943,159.89,1.0,07346X0017
loc001n0945,159.8,1.0,07346X0017
